round_id,published_at,public_figure,panelist,outcome,playable
ko-187,2023-01-20T10:43:00-03:00,Soraya Thronicke,Bernardo Mello Franco,did_not_win,true
ko-187,2023-01-20T10:43:00-03:00,Soraya Thronicke,Natália Viana,did_not_win,true
ko-187,2023-01-20T10:43:00-03:00,Soraya Thronicke,Marcos Nobre,did_not_win,true
ko-186,2023-01-27T10:43:00-03:00,Ivete Sangalo,Fernando de Barros e Silva,did_not_win,true
ko-186,2023-01-27T10:43:00-03:00,Ivete Sangalo,José Roberto de Toledo,did_not_win,true
ko-186,2023-01-27T10:43:00-03:00,Ivete Sangalo,Thais Bilenky,winner,true
ko-185,2023-02-03T10:43:00-03:00,Antônio Carlos Magalhães Neto,Fernando de Barros e Silva,did_not_win,true
ko-185,2023-02-03T10:43:00-03:00,Antônio Carlos Magalhães Neto,José Roberto de Toledo,did_not_win,true
ko-185,2023-02-03T10:43:00-03:00,Antônio Carlos Magalhães Neto,Thais Bilenky,winner,true
ko-185,2023-02-03T10:43:00-03:00,Antônio Carlos Magalhães Neto,Braulio Borges,did_not_win,true
ko-184,2023-02-10T10:43:00-03:00,Kim Kataguiri,José Roberto de Toledo,did_not_win,true
ko-184,2023-02-10T10:43:00-03:00,Kim Kataguiri,Thais Bilenky,did_not_win,true
ko-184,2023-02-10T10:43:00-03:00,Kim Kataguiri,Ana Clara Costa,winner,true
ko-184,2023-02-10T10:43:00-03:00,Kim Kataguiri,Luciano Ramalho,did_not_win,true
ko-183,2023-02-17T10:43:00-03:00,André de Paula,José Roberto de Toledo,did_not_win,true
ko-183,2023-02-17T10:43:00-03:00,André de Paula,Thais Bilenky,did_not_win,true
ko-183,2023-02-17T10:43:00-03:00,André de Paula,Ana Clara Costa,winner,true
ko-182,2023-02-24T10:43:00-03:00,Magno Malta,Thais Bilenky,did_not_win,false
ko-182,2023-02-24T10:43:00-03:00,Magno Malta,José Roberto de Toledo,did_not_win,false
ko-182,2023-02-24T10:43:00-03:00,Magno Malta,Ana Clara Costa,did_not_win,false
ko-182,2023-02-24T10:43:00-03:00,Magno Malta,Marcelo Rubens Paiva,did_not_win,false
ko-181,2023-03-03T10:50:00-03:00,Carla Zambelli,Fernando de Barros e Silva,did_not_win,true
